clinic_id,item_id,current_stock_units,weekly_consumption,days_of_stock_remaining,nearest_expiry_date,days_to_expiry,stockout_flag,expiry_risk_flag,priority_score,demo_subset,_data_provenance
CL-0001,MED_THERAPEUTIC_FEED,84,15,39.2,6/28/2028,688,FALSE,FALSE,0.35,FALSE,proxy_synthetic
CL-0002,MED_ACT,37,8,32.4,12/23/2027,500,FALSE,FALSE,0.28,FALSE,proxy_synthetic
CL-0002,MED_RDT_MAL,65,11,41.4,4/27/2027,260,FALSE,FALSE,0.34,TRUE,proxy_synthetic
CL-0002,MED_DENGUE_SUP,36,5,50.4,4/15/2027,248,FALSE,FALSE,0.33,TRUE,proxy_synthetic
CL-0002,MED_RDT_DEN,38,7,38.0,8/17/2027,372,FALSE,FALSE,0.34,TRUE,proxy_synthetic
CL-0002,MED_ORS,131,25,36.7,8/10/2027,365,FALSE,FALSE,0.25,FALSE,proxy_synthetic
CL-0002,MED_CHOLERA_KIT,37,4,64.8,4/14/2027,247,FALSE,FALSE,0.23,TRUE,proxy_synthetic
CL-0002,VAC_OCV,127,15,59.3,5/26/2027,289,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0002,VAC_MEASLES,42,6,49.0,1/14/2027,157,FALSE,TRUE,0.26,FALSE,proxy_synthetic
CL-0002,VAC_OPV,1,6,1.2,4/14/2027,247,TRUE,FALSE,0.91,FALSE,proxy_synthetic
CL-0002,VAC_PENTA,41,6,47.8,11/7/2027,454,FALSE,FALSE,0.34,FALSE,proxy_synthetic
CL-0002,VAC_TT,18,4,31.5,1/8/2027,151,FALSE,TRUE,0.28,FALSE,proxy_synthetic
CL-0002,MED_ANTIVENOM,3,1,21.0,1/22/2027,165,FALSE,TRUE,0.24,FALSE,proxy_synthetic
CL-0002,MED_SNAKE_ANTIVENOM,13,2,45.5,10/25/2026,76,FALSE,TRUE,0.48,FALSE,proxy_synthetic
CL-0002,MED_SNAKE_WOUND,12,3,28.0,5/1/2027,264,FALSE,FALSE,0.32,FALSE,proxy_synthetic
CL-0002,MED_OXYTOCIN,11,3,25.7,5/13/2028,642,FALSE,FALSE,0.35,FALSE,proxy_synthetic
CL-0002,MED_METFORMIN,6,10,4.2,7/1/2028,691,TRUE,FALSE,0.7,FALSE,proxy_synthetic
CL-0002,MED_GLUCOSE,17,4,29.8,5/3/2027,266,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0002,MED_VIT_A,28,5,39.2,4/22/2028,621,FALSE,FALSE,0.23,TRUE,proxy_synthetic
CL-0002,MED_MUAC_KIT,17,2,59.5,7/31/2027,355,FALSE,FALSE,0.3,FALSE,proxy_synthetic
CL-0002,MED_ZINC_MAL,124,14,62.0,2/1/2027,175,FALSE,TRUE,0.24,TRUE,proxy_synthetic
CL-0003,MED_ACT,52,7,52.0,1/5/2028,513,FALSE,FALSE,0.28,FALSE,proxy_synthetic
CL-0003,MED_RDT_MAL,139,19,51.2,1/27/2027,170,FALSE,TRUE,0.28,FALSE,proxy_synthetic
CL-0003,MED_DENGUE_SUP,57,8,49.9,3/30/2027,232,FALSE,FALSE,0.3,FALSE,proxy_synthetic
CL-0003,MED_RDT_DEN,59,8,51.6,6/12/2027,306,FALSE,FALSE,0.26,FALSE,proxy_synthetic
CL-0003,MED_ORS,11,28,2.8,2/21/2028,560,TRUE,FALSE,0.79,FALSE,proxy_synthetic
CL-0003,MED_CHOLERA_KIT,2,8,1.8,12/23/2027,500,TRUE,FALSE,0.82,FALSE,proxy_synthetic
CL-0003,VAC_OCV,64,16,28.0,5/31/2028,660,FALSE,FALSE,0.32,TRUE,proxy_synthetic
CL-0003,VAC_MEASLES,41,6,47.8,4/20/2028,619,FALSE,FALSE,0.31,FALSE,proxy_synthetic
CL-0003,VAC_OPV,22,8,19.2,5/11/2027,274,FALSE,FALSE,0.33,TRUE,proxy_synthetic
CL-0003,VAC_PENTA,27,7,27.0,11/10/2027,457,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0003,VAC_TT,39,5,54.6,11/29/2026,111,FALSE,TRUE,0.42,FALSE,proxy_synthetic
CL-0003,MED_ANTIVENOM,8,1,56.0,4/25/2028,624,FALSE,FALSE,0.3,FALSE,proxy_synthetic
CL-0003,MED_SNAKE_ANTIVENOM,26,3,60.7,3/14/2028,582,FALSE,FALSE,0.28,FALSE,proxy_synthetic
CL-0003,MED_SNAKE_WOUND,30,4,52.5,7/20/2027,344,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0003,MED_OXYTOCIN,27,4,47.2,4/16/2027,249,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0003,MED_METFORMIN,35,10,24.5,3/1/2028,569,FALSE,FALSE,0.31,TRUE,proxy_synthetic
CL-0003,MED_GLUCOSE,27,5,37.8,10/11/2027,427,FALSE,FALSE,0.34,FALSE,proxy_synthetic
CL-0003,MED_VIT_A,62,8,54.2,3/12/2027,214,FALSE,FALSE,0.25,FALSE,proxy_synthetic
CL-0003,MED_MUAC_KIT,22,4,38.5,12/15/2027,492,FALSE,FALSE,0.29,TRUE,proxy_synthetic
CL-0003,MED_ZINC_MAL,36,13,19.4,2/22/2028,561,FALSE,FALSE,0.26,TRUE,proxy_synthetic
CL-0004,MED_ACT,54,8,47.2,11/25/2026,107,FALSE,TRUE,0.46,FALSE,proxy_synthetic
CL-0004,MED_RDT_MAL,45,13,24.2,3/24/2027,226,FALSE,FALSE,0.26,TRUE,proxy_synthetic
CL-0004,MED_DENGUE_SUP,31,6,36.2,11/21/2027,468,FALSE,FALSE,0.24,TRUE,proxy_synthetic
CL-0004,MED_RDT_DEN,56,6,65.3,9/25/2027,411,FALSE,FALSE,0.32,FALSE,proxy_synthetic
CL-0004,MED_ORS,121,31,27.3,10/27/2026,78,FALSE,TRUE,0.51,FALSE,proxy_synthetic
CL-0004,MED_CHOLERA_KIT,46,6,53.7,1/6/2028,514,FALSE,FALSE,0.31,TRUE,proxy_synthetic
CL-0004,VAC_OCV,56,17,23.1,11/15/2026,97,FALSE,TRUE,0.46,FALSE,proxy_synthetic
CL-0004,VAC_MEASLES,59,8,51.6,12/30/2026,142,FALSE,TRUE,0.31,FALSE,proxy_synthetic
CL-0004,VAC_OPV,34,10,23.8,6/21/2027,315,FALSE,FALSE,0.25,FALSE,proxy_synthetic
CL-0004,VAC_PENTA,29,6,33.8,4/22/2028,621,FALSE,FALSE,0.22,FALSE,proxy_synthetic
CL-0004,VAC_TT,44,6,51.3,3/21/2028,589,FALSE,FALSE,0.34,FALSE,proxy_synthetic
CL-0004,MED_ANTIVENOM,12,2,42.0,3/20/2028,588,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0004,MED_SNAKE_ANTIVENOM,2,3,4.7,11/3/2027,450,TRUE,FALSE,0.62,FALSE,proxy_synthetic
CL-0004,MED_SNAKE_WOUND,2,3,4.7,6/26/2027,320,TRUE,FALSE,0.63,FALSE,proxy_synthetic
CL-0004,MED_OXYTOCIN,11,4,19.2,4/20/2027,253,FALSE,FALSE,0.31,FALSE,proxy_synthetic
CL-0004,MED_METFORMIN,76,11,48.4,4/21/2028,620,FALSE,FALSE,0.21,TRUE,proxy_synthetic
CL-0004,MED_GLUCOSE,32,5,44.8,12/7/2027,484,FALSE,FALSE,0.26,FALSE,proxy_synthetic
CL-0004,MED_VIT_A,26,6,30.3,5/10/2027,273,FALSE,FALSE,0.23,TRUE,proxy_synthetic
CL-0004,MED_MUAC_KIT,11,3,25.7,11/13/2027,460,FALSE,FALSE,0.31,FALSE,proxy_synthetic
CL-0004,MED_ZINC_MAL,45,14,22.5,7/4/2027,328,FALSE,FALSE,0.23,TRUE,proxy_synthetic
CL-0005,MED_ACT,46,5,64.4,2/20/2028,559,FALSE,FALSE,0.22,FALSE,proxy_synthetic
CL-0005,MED_RDT_MAL,58,9,45.1,7/26/2027,350,FALSE,FALSE,0.23,TRUE,proxy_synthetic
CL-0005,MED_DENGUE_SUP,40,5,56.0,3/31/2027,233,FALSE,FALSE,0.29,TRUE,proxy_synthetic
CL-0005,MED_RDT_DEN,18,4,31.5,4/14/2027,247,FALSE,FALSE,0.31,FALSE,proxy_synthetic
CL-0005,MED_ORS,109,18,42.4,10/23/2027,439,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0005,MED_CHOLERA_KIT,27,4,47.2,6/23/2028,683,FALSE,FALSE,0.23,TRUE,proxy_synthetic
CL-0005,VAC_OCV,2,9,1.6,10/10/2026,61,TRUE,TRUE,0.91,TRUE,proxy_synthetic
CL-0005,VAC_MEASLES,22,4,38.5,6/12/2028,672,FALSE,FALSE,0.32,FALSE,proxy_synthetic
CL-0005,VAC_OPV,27,5,37.8,6/3/2027,297,FALSE,FALSE,0.34,FALSE,proxy_synthetic
CL-0005,VAC_PENTA,14,3,32.7,12/18/2027,495,FALSE,FALSE,0.24,TRUE,proxy_synthetic
CL-0005,VAC_TT,27,3,63.0,11/18/2027,465,FALSE,FALSE,0.21,TRUE,proxy_synthetic
CL-0005,MED_ANTIVENOM,4,1,28.0,1/31/2027,174,FALSE,TRUE,0.23,FALSE,proxy_synthetic
CL-0005,MED_SNAKE_ANTIVENOM,9,1,63.0,7/26/2027,350,FALSE,FALSE,0.21,FALSE,proxy_synthetic
CL-0005,MED_SNAKE_WOUND,17,2,59.5,1/5/2028,513,FALSE,FALSE,0.3,FALSE,proxy_synthetic
CL-0005,MED_OXYTOCIN,10,2,35.0,5/10/2028,639,FALSE,FALSE,0.25,FALSE,proxy_synthetic
CL-0005,MED_METFORMIN,40,5,56.0,10/29/2027,445,FALSE,FALSE,0.25,FALSE,proxy_synthetic
CL-0005,MED_GLUCOSE,18,3,42.0,2/11/2028,550,FALSE,FALSE,0.28,FALSE,proxy_synthetic
CL-0005,MED_VIT_A,23,3,53.7,4/4/2028,603,FALSE,FALSE,0.23,FALSE,proxy_synthetic
CL-0005,MED_MUAC_KIT,15,2,52.5,2/1/2027,175,FALSE,TRUE,0.21,TRUE,proxy_synthetic
CL-0005,MED_ZINC_MAL,26,8,22.8,6/22/2028,682,FALSE,FALSE,0.27,TRUE,proxy_synthetic
CL-0006,MED_ACT,236,32,51.6,7/23/2027,347,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0006,MED_RDT_MAL,247,48,36.0,8/17/2027,372,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0006,MED_DENGUE_SUP,107,20,37.5,8/12/2027,367,FALSE,FALSE,0.32,FALSE,proxy_synthetic
CL-0006,MED_RDT_DEN,232,25,65.0,4/23/2027,256,FALSE,FALSE,0.28,FALSE,proxy_synthetic
CL-0006,MED_ORS,535,95,39.4,6/14/2027,308,FALSE,FALSE,0.3,FALSE,proxy_synthetic
CL-0006,MED_CHOLERA_KIT,57,20,19.9,2/23/2028,562,FALSE,FALSE,0.32,FALSE,proxy_synthetic
CL-0006,VAC_OCV,494,54,64.0,3/27/2027,229,FALSE,FALSE,0.28,FALSE,proxy_synthetic
CL-0006,VAC_MEASLES,144,26,38.8,10/23/2027,439,FALSE,FALSE,0.31,FALSE,proxy_synthetic
CL-0006,VAC_OPV,172,30,40.1,4/23/2027,256,FALSE,FALSE,0.3,FALSE,proxy_synthetic
CL-0006,VAC_PENTA,217,26,58.4,8/14/2027,369,FALSE,FALSE,0.31,FALSE,proxy_synthetic
CL-0006,VAC_TT,3,22,1.0,6/26/2028,686,TRUE,FALSE,0.89,FALSE,proxy_synthetic
CL-0006,MED_ANTIVENOM,19,6,22.2,6/1/2028,661,FALSE,FALSE,0.27,FALSE,proxy_synthetic
CL-0006,MED_SNAKE_ANTIVENOM,6,9,4.7,9/18/2027,404,TRUE,FALSE,0.64,FALSE,proxy_synthetic
CL-0006,MED_SNAKE_WOUND,43,14,21.5,1/22/2028,530,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0006,MED_OXYTOCIN,38,9,29.6,3/13/2027,215,FALSE,FALSE,0.32,FALSE,proxy_synthetic
CL-0006,MED_METFORMIN,199,36,38.7,1/6/2028,514,FALSE,FALSE,0.3,FALSE,proxy_synthetic
CL-0006,MED_GLUCOSE,51,13,27.5,11/13/2027,460,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0006,MED_VIT_A,105,23,32.0,2/11/2028,550,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0006,MED_MUAC_KIT,29,10,20.3,11/20/2027,467,FALSE,FALSE,0.34,FALSE,proxy_synthetic
CL-0006,MED_ZINC_MAL,262,53,34.6,1/23/2028,531,FALSE,FALSE,0.3,FALSE,proxy_synthetic
CL-0006,VAC_HEPB,81,12,47.2,1/25/2028,533,FALSE,FALSE,0.25,FALSE,proxy_synthetic
CL-0006,VAC_BCG,48,15,22.4,3/15/2028,583,FALSE,FALSE,0.23,TRUE,proxy_synthetic
CL-0006,VAC_MR,92,15,42.9,4/26/2028,625,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0006,MED_TETANUS,53,7,53.0,5/5/2027,268,FALSE,FALSE,0.34,TRUE,proxy_synthetic
CL-0006,MED_DIABETES_INSULIN,104,14,52.0,7/3/2028,693,FALSE,FALSE,0.32,FALSE,proxy_synthetic
CL-0006,MED_GLIBENCLAMIDE,12,25,3.4,2/19/2028,558,TRUE,FALSE,0.74,FALSE,proxy_synthetic
CL-0006,MED_GLUCAGON,18,2,63.0,11/6/2026,88,FALSE,TRUE,0.51,FALSE,proxy_synthetic
CL-0006,MED_RUTF,66,22,21.0,6/4/2028,664,FALSE,FALSE,0.25,FALSE,proxy_synthetic
CL-0006,MED_F75,23,5,32.2,4/26/2027,259,FALSE,FALSE,0.33,TRUE,proxy_synthetic
CL-0006,MED_F100,38,5,53.2,10/4/2027,420,FALSE,FALSE,0.31,TRUE,proxy_synthetic
CL-0006,MED_THERAPEUTIC_FEED,2,5,2.8,6/25/2028,685,TRUE,FALSE,0.77,TRUE,proxy_synthetic
CL-0007,MED_ACT,72,8,63.0,4/27/2027,260,FALSE,FALSE,0.3,FALSE,proxy_synthetic
CL-0007,MED_RDT_MAL,110,21,36.7,4/16/2027,249,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0007,MED_DENGUE_SUP,53,8,46.4,1/10/2027,153,FALSE,TRUE,0.28,FALSE,proxy_synthetic
CL-0007,MED_RDT_DEN,28,7,28.0,12/2/2027,479,FALSE,FALSE,0.25,TRUE,proxy_synthetic
CL-0007,MED_ORS,25,35,5.0,5/15/2027,278,TRUE,FALSE,0.61,TRUE,proxy_synthetic
CL-0007,MED_CHOLERA_KIT,16,6,18.7,1/11/2027,154,FALSE,TRUE,0.28,TRUE,proxy_synthetic
CL-0007,VAC_OCV,73,12,42.6,11/1/2027,448,FALSE,FALSE,0.32,FALSE,proxy_synthetic
CL-0007,VAC_MEASLES,54,6,63.0,1/10/2027,153,FALSE,TRUE,0.3,FALSE,proxy_synthetic
CL-0007,VAC_OPV,81,9,63.0,12/5/2026,117,FALSE,TRUE,0.36,FALSE,proxy_synthetic
CL-0007,VAC_PENTA,1,8,0.9,4/10/2027,243,TRUE,FALSE,0.93,FALSE,proxy_synthetic
CL-0007,VAC_TT,29,6,33.8,12/7/2027,484,FALSE,FALSE,0.27,FALSE,proxy_synthetic
CL-0007,MED_ANTIVENOM,8,1,56.0,4/8/2028,607,FALSE,FALSE,0.31,TRUE,proxy_synthetic
CL-0007,MED_SNAKE_ANTIVENOM,10,2,35.0,10/9/2027,425,FALSE,FALSE,0.21,FALSE,proxy_synthetic
CL-0007,MED_SNAKE_WOUND,14,4,24.5,4/12/2027,245,FALSE,FALSE,0.32,TRUE,proxy_synthetic
CL-0007,MED_OXYTOCIN,24,3,56.0,12/26/2027,503,FALSE,FALSE,0.28,FALSE,proxy_synthetic
CL-0007,MED_METFORMIN,56,8,49.0,5/29/2028,658,FALSE,FALSE,0.31,FALSE,proxy_synthetic
CL-0007,MED_GLUCOSE,32,5,44.8,2/10/2028,549,FALSE,FALSE,0.23,TRUE,proxy_synthetic
CL-0007,MED_VIT_A,62,8,54.2,4/28/2028,627,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0007,MED_MUAC_KIT,21,3,49.0,1/27/2027,170,FALSE,TRUE,0.24,TRUE,proxy_synthetic
CL-0007,MED_ZINC_MAL,78,16,34.1,1/20/2027,163,FALSE,TRUE,0.24,FALSE,proxy_synthetic
CL-0008,MED_ACT,55,8,48.1,1/6/2027,149,FALSE,TRUE,0.3,FALSE,proxy_synthetic
CL-0008,MED_RDT_MAL,125,16,54.7,4/4/2027,237,FALSE,FALSE,0.21,TRUE,proxy_synthetic
CL-0008,MED_DENGUE_SUP,31,7,31.0,8/6/2027,361,FALSE,FALSE,0.27,FALSE,proxy_synthetic
CL-0008,MED_RDT_DEN,4,10,2.8,10/4/2027,420,TRUE,FALSE,0.79,FALSE,proxy_synthetic
CL-0008,MED_ORS,12,32,2.6,3/12/2027,214,TRUE,FALSE,0.78,TRUE,proxy_synthetic
CL-0008,MED_CHOLERA_KIT,16,6,18.7,6/4/2027,298,FALSE,FALSE,0.26,FALSE,proxy_synthetic
CL-0008,VAC_OCV,128,16,56.0,1/19/2027,162,FALSE,TRUE,0.27,TRUE,proxy_synthetic
CL-0008,VAC_MEASLES,42,5,58.8,12/20/2027,497,FALSE,FALSE,0.31,FALSE,proxy_synthetic
CL-0008,VAC_OPV,2,7,2.0,5/30/2027,293,TRUE,FALSE,0.85,TRUE,proxy_synthetic
CL-0008,VAC_PENTA,52,8,45.5,9/22/2027,408,FALSE,FALSE,0.25,FALSE,proxy_synthetic
CL-0008,VAC_TT,30,5,42.0,12/9/2026,121,FALSE,TRUE,0.33,FALSE,proxy_synthetic
CL-0008,MED_ANTIVENOM,16,2,56.0,7/8/2027,332,FALSE,FALSE,0.22,TRUE,proxy_synthetic
CL-0008,MED_SNAKE_ANTIVENOM,21,3,49.0,1/9/2027,152,FALSE,TRUE,0.25,FALSE,proxy_synthetic
CL-0008,MED_SNAKE_WOUND,25,4,43.8,1/25/2028,533,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0008,MED_OXYTOCIN,1,3,2.3,7/24/2027,348,TRUE,FALSE,0.8,TRUE,proxy_synthetic
CL-0008,MED_METFORMIN,62,11,39.5,1/16/2027,159,FALSE,TRUE,0.3,FALSE,proxy_synthetic
CL-0008,MED_GLUCOSE,28,5,39.2,4/20/2028,619,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0008,MED_VIT_A,38,8,33.2,5/25/2027,288,FALSE,FALSE,0.21,TRUE,proxy_synthetic
CL-0008,MED_MUAC_KIT,29,4,50.8,6/6/2027,300,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0008,MED_ZINC_MAL,51,14,25.5,8/1/2027,356,FALSE,FALSE,0.26,FALSE,proxy_synthetic
CL-0009,MED_ACT,97,14,48.5,10/21/2026,72,FALSE,TRUE,0.53,FALSE,proxy_synthetic
CL-0009,MED_RDT_MAL,174,25,48.7,12/10/2027,487,FALSE,FALSE,0.25,FALSE,proxy_synthetic
CL-0009,MED_DENGUE_SUP,82,9,63.8,7/8/2027,332,FALSE,FALSE,0.29,FALSE,proxy_synthetic
CL-0009,MED_RDT_DEN,95,12,55.4,10/2/2027,418,FALSE,FALSE,0.32,FALSE,proxy_synthetic
CL-0009,MED_ORS,352,51,48.3,9/11/2027,397,FALSE,FALSE,0.25,TRUE,proxy_synthetic
CL-0009,MED_CHOLERA_KIT,58,10,40.6,5/16/2027,279,FALSE,FALSE,0.21,FALSE,proxy_synthetic
CL-0009,VAC_OCV,164,20,57.4,3/27/2027,229,FALSE,FALSE,0.25,FALSE,proxy_synthetic
CL-0009,VAC_MEASLES,33,9,25.7,3/27/2028,595,FALSE,FALSE,0.32,TRUE,proxy_synthetic
CL-0009,VAC_OPV,92,13,49.5,5/7/2027,270,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0009,VAC_PENTA,51,11,32.5,10/29/2027,445,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0009,VAC_TT,62,11,39.5,9/22/2027,408,FALSE,FALSE,0.28,FALSE,proxy_synthetic
CL-0009,MED_ANTIVENOM,11,3,25.7,2/2/2028,541,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0009,MED_SNAKE_ANTIVENOM,25,3,58.3,4/5/2028,604,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0009,MED_SNAKE_WOUND,45,5,63.0,10/27/2027,443,FALSE,FALSE,0.25,TRUE,proxy_synthetic
CL-0009,MED_OXYTOCIN,17,4,29.8,9/12/2027,398,FALSE,FALSE,0.2,FALSE,proxy_synthetic
CL-0009,MED_METFORMIN,150,19,55.3,8/4/2027,359,FALSE,FALSE,0.32,FALSE,proxy_synthetic
CL-0009,MED_GLUCOSE,34,6,39.7,10/19/2026,70,FALSE,TRUE,0.51,FALSE,proxy_synthetic
CL-0009,MED_VIT_A,40,12,23.3,8/11/2027,366,FALSE,FALSE,0.21,FALSE,proxy_synthetic
CL-0009,MED_MUAC_KIT,17,5,23.8,1/10/2028,518,FALSE,FALSE,0.2,FALSE,proxy_synthetic
CL-0009,MED_ZINC_MAL,109,20,38.1,7/11/2027,335,FALSE,FALSE,0.26,FALSE,proxy_synthetic
CL-0009,VAC_HEPB,12,4,21.0,11/17/2027,464,FALSE,FALSE,0.35,FALSE,proxy_synthetic
CL-0009,VAC_BCG,48,7,48.0,7/13/2027,337,FALSE,FALSE,0.2,FALSE,proxy_synthetic
CL-0009,VAC_MR,48,7,48.0,3/9/2028,577,FALSE,FALSE,0.25,TRUE,proxy_synthetic
CL-0009,MED_TETANUS,15,4,26.2,10/26/2027,442,FALSE,FALSE,0.3,FALSE,proxy_synthetic
CL-0009,MED_DIABETES_INSULIN,4,6,4.7,8/2/2027,357,TRUE,FALSE,0.66,TRUE,proxy_synthetic
CL-0009,MED_GLIBENCLAMIDE,7,9,5.4,7/31/2028,721,TRUE,FALSE,0.56,FALSE,proxy_synthetic
CL-0009,MED_GLUCAGON,8,1,56.0,8/21/2027,376,FALSE,FALSE,0.22,FALSE,proxy_synthetic
CL-0009,MED_RUTF,94,11,59.8,7/6/2028,696,FALSE,FALSE,0.27,FALSE,proxy_synthetic
CL-0009,MED_F75,24,3,56.0,4/17/2027,250,FALSE,FALSE,0.29,FALSE,proxy_synthetic
CL-0009,MED_F100,9,3,21.0,8/8/2027,363,FALSE,FALSE,0.29,FALSE,proxy_synthetic
CL-0009,MED_THERAPEUTIC_FEED,9,3,21.0,8/31/2027,386,FALSE,FALSE,0.35,FALSE,proxy_synthetic
CL-0010,MED_ACT,28,9,21.8,9/6/2027,392,FALSE,FALSE,0.32,FALSE,proxy_synthetic
CL-0010,MED_RDT_MAL,113,17,46.5,3/20/2027,222,FALSE,FALSE,0.21,FALSE,proxy_synthetic
CL-0010,MED_DENGUE_SUP,32,5,44.8,10/4/2027,420,FALSE,FALSE,0.34,FALSE,proxy_synthetic
CL-0010,MED_RDT_DEN,49,8,42.9,9/25/2027,411,FALSE,FALSE,0.24,TRUE,proxy_synthetic
CL-0010,MED_ORS,134,26,36.1,7/22/2027,346,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0010,MED_CHOLERA_KIT,61,7,61.0,5/9/2027,272,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0010,VAC_OCV,47,15,21.9,5/3/2028,632,FALSE,FALSE,0.25,FALSE,proxy_synthetic
CL-0010,VAC_MEASLES,34,4,59.5,2/27/2028,566,FALSE,FALSE,0.34,FALSE,proxy_synthetic
CL-0010,VAC_OPV,27,8,23.6,3/27/2027,229,FALSE,FALSE,0.32,TRUE,proxy_synthetic
CL-0010,VAC_PENTA,48,6,56.0,1/8/2028,516,FALSE,FALSE,0.21,FALSE,proxy_synthetic
CL-0010,VAC_TT,37,6,43.2,5/6/2028,635,FALSE,FALSE,0.21,FALSE,proxy_synthetic
