clinic_id,clinic_name,clinic_name_mya,facility_level,bed_class,state_region_pcode,state_region,district_pcode,district,township_pcode,township,confidence,latitude,longitude,institutional_delivery_rate,skilled_birth_attendance_rate,full_vaccination_rate,current_stock_days_remaining,population_served,road_access_flag,_data_provenance
CL-0011,Ma Gyi Boke Station Hospital,မကျီးဘုတ်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,high confidence,21.807166000000052,95.21797000000004,0.183,0.094,0.61,13,388,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0012,Shwebo General Hospital,ရွှေဘိုပြည်သူ့ဆေးရုံကြီး,General,200,MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,high confidence,22.564106000000038,95.70069700000005,0.205,0.244,0.657,18,7634,all_weather,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0013,Seik Khun Station Hospital,ဆိပ်ခွန်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,high confidence,22.54827700000004,95.58516800000007,0.167,0.071,0.605,12,498,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0014,Sin In Station Hospital,ဆင်အင်းတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,high confidence,22.63034200000004,95.48667600000005,0.265,0.183,0.378,3,569,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0015,Kyauk Myaung Station Hospital,ကျောက်မြောင်းတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,probably accurate,22.597034000000065,95.93598000000009,0.222,0.108,0.487,5,417,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0016,Nyaung Pin Thar Station Hospital,ညောင်ပင်သာတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,high confidence,22.666936000000078,95.54549400000008,0.291,0.079,0.449,25,331,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0017,Khin-U Township Hospital,ခင်ဦးမြို့နယ်ဆေးရုံ,Township,25,MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,high confidence,22.768661000000066,95.61780900000008,0.262,0.203,0.523,28,722,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0018,Ywar Zin Station Hospital,ရွာဇင်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,high confidence,22.755075000000033,95.76784800000007,0.213,0.171,0.47,22,266,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0019,Nyaung Pin Gyi Su Station Hospital,ညောင်ပင်ကြီးစုတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,probably accurate,22.692391000000043,95.47474500000004,0.292,0.12,0.498,3,571,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0020,Wetlet Township Hospital,ဝက်လက်မြို့နယ်ဆေးရုံ,Township,25,MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,high confidence,22.36611800000003,95.79203100000007,0.217,0.247,0.647,24,770,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0021,Shein Ma Kar Station Hospital,ရှိမ္မကားတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,high confidence,22.27709200000004,95.98319400000008,0.237,0.13,0.498,20,543,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0022,Min Chi Station Hospital,မင်းချီတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,high confidence,22.411215000000027,95.61938500000008,0.169,0.158,0.539,15,382,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0023,Shwe Pan Kone Station Hospital,ရွှေပန်းကုန်းစံပြတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,high confidence,22.30769900000007,95.62947500000007,0.191,0.173,0.493,4,628,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0024,Kanbalu Township Hospital,ကန့်ဘလူမြို့နယ်ဆေးရုံ,Township,100,MMR005,Sagaing,MMR005D010,Kanbalu,MMR005007,Kanbalu,high confidence,23.202783000000068,95.53622500000006,0.182,0.153,0.565,29,3733,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0025,Chat Thin Station Hospital,ချပ်သင်းတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D010,Kanbalu,MMR005007,Kanbalu,high confidence,23.522181000000046,95.67293000000006,0.246,0.185,0.51,13,551,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0026,Ma Lel Station Hospital,မလည်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D010,Kanbalu,MMR005007,Kanbalu,high confidence,23.033493000000078,95.97365300000007,0.116,0.124,0.541,1,318,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0027,Zee Kone Station Hospital,ဇီးကုန်းတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D010,Kanbalu,MMR005007,Kanbalu,high confidence,22.92754300000007,95.56667900000008,0.234,0.132,0.591,6,427,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0028,Kyunhla Township Hospital,ကျွန်းလှမြို့နယ်ဆေးရုံ,Township,50,MMR005,Sagaing,MMR005D010,Kanbalu,MMR005008,Kyunhla,high confidence,23.329175000000077,95.53902100000005,0.191,0.252,0.645,12,805,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0029,Ywar Kone Gyi Station Hospital,ရွာကုန်းကြီးတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D010,Kanbalu,MMR005008,Kyunhla,high confidence,23.620855000000063,95.33559500000007,0.257,0.094,0.531,1,302,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0030,Pay Pin Chaung Station Hospital,ပေပင်ချောင်းတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D010,Kanbalu,MMR005008,Kyunhla,high confidence,23.472856000000036,95.10050100000007,0.232,0.05,0.551,9,513,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0031,Ka Ni Station Hospital,ညောင်ကိုင်းတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D010,Kanbalu,MMR005008,Kyunhla,high confidence,23.26824300000004,95.28340600000007,0.296,0.253,0.429,14,538,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0032,Yae Shin Station Hospital,ရေရှင်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D010,Kanbalu,MMR005008,Kyunhla,high confidence,23.71947300000005,95.10439400000007,0.231,0.309,0.503,28,627,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0033,Koku Station Hospital,ကုက္ကိုလ်ကုန်းတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D010,Kanbalu,MMR005008,Kyunhla,high confidence,23.44239200000004,95.50254500000005,0.093,0.132,0.575,2,370,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0034,Ye-U Township Hospital,ရေဦးမြို့နယ်ဆေးရုံ,Township,100,MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,high confidence,22.75674900000007,95.42929200000003,0.22,0.074,0.621,17,2426,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0035,Ta Mar Taw Station Hospital,တမာတောတိုက်နယ်ဆေးရုံ,Station,25,MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,high confidence,22.842892000000063,95.26252200000005,0.121,0.141,0.53,27,668,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0036,Pa Lu Za Wa Station Hospital,ပလူဇဝတိုက်နယ်ဆေးရုံ,Station,25,MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,high confidence,22.880062000000066,94.85333400000007,0.16,0.143,0.577,24,493,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0037,Tabayin Township Hospital,ဒီပဲယင်းမြို့နယ်ဆေးရုံ,Township,25,MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,high confidence,22.679699000000028,95.31458600000008,0.282,0.149,0.549,27,456,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0038,Mukangyi Station Hospital,မူးကမ်းတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,high confidence,22.512973000000045,95.48516700000005,0.225,0.09,0.594,5,430,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0039,Saing Pyin Station Hospital,စိုင်ပြင်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,high confidence,22.573975000000075,95.24212000000006,0.145,0.191,0.53,24,331,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0040,Nyaung Hla Station Hospital,ညောင်လှတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,high confidence,22.654329000000075,95.41705300000007,0.126,0.188,0.485,29,508,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0041,Sone Kone Station Hospital,ဆုံကုန်းတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,bestGuess,22.719641000000024,94.97131300000007,0.189,0.067,0.533,9,415,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0042,Taze Township Hospital,တန့်ဆည်မြို့နယ်ဆေးရုံ,Township,25,MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,high confidence,22.945396000000073,95.39658300000008,0.118,0.202,0.31,14,895,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0043,Na Bet Gyi Station Hospital,နဘက်ကြီးတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,high confidence,23.014579000000026,95.36104100000006,0.147,0.28,0.536,15,520,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0044,Ywar Shey (North) Station Hospital,ရွာရှည်(မြောက်)တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,high confidence,23.10742700000003,95.33674500000006,0.206,0.167,0.3,14,365,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0045,Kan Htu Ma Station Hospital,ကံထူးမစံပြတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,high confidence,22.934393000000057,95.22927300000003,0.256,0.136,0.389,8,573,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0046,Sein Nan Station Hospital,စိန်နန်းတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,high confidence,23.235808000000077,95.02939400000008,0.224,0.148,0.541,29,562,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0047,Monywa General Hospital,မုံရွာပြည်သူ့ဆေးရုံကြီး,General,500,MMR005,Sagaing,MMR005D003,Monywa,MMR005012,Monywa,high confidence,22.11999000000003,95.13035000000008,0.263,0.387,0.833,28,12343,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0048,Nyaung Gyi Inn Station Hospital,ညောင်ဖြူပင်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D003,Monywa,MMR005012,Monywa,high confidence,22.006692000000044,95.18523900000008,0.205,0.053,0.428,11,355,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0049,TharSi Station Hospital,သာစည်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D003,Monywa,MMR005012,Monywa,bestGuess,22.22058000000004,95.25458000000003,0.191,0.166,0.46,24,513,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0050,Monywa University Hospital,မုံရွာတက္ကသိုလ်ဆေးရုံ,NA,NA,MMR006,Sagaing,MMR005D004,Monywa,MMR005013,Monywa,high confidence,22.13984800000003,95.16825800000004,0.212,0.133,0.606,11,296,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0051,Budalin Township Hospital,ဘုတလင်မြို့နယ်ဆေးရုံ,Township,50,MMR005,Sagaing,MMR005D003,Monywa,MMR005013,Budalin,high confidence,22.386066000000028,95.14079900000007,0.299,0.281,0.496,23,1000,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0052,Maung Htaung Station Hospital,မောင်းတောင်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D003,Monywa,MMR005013,Budalin,high confidence,22.488657000000046,95.06991600000003,0.063,0.146,0.667,17,243,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0053,Tha Khut Ta Nei Station Hospital,သခွတ္တနယ်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D003,Monywa,MMR005013,Budalin,high confidence,22.462144000000023,94.97261800000007,0.152,0.256,0.509,14,555,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0054,Ayadaw Township Hospital,အရာတော်မြို့နယ်ဆေးရုံ,Township,25,MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,high confidence,22.283416000000045,95.44732400000004,0.226,0.094,0.544,3,791,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0055,Naung Gyi Aing Station Hospital,နောင်ကြီးအိုင်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,high confidence,22.422747000000072,95.37473800000004,0.092,0.192,0.623,19,522,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0056,Ma Le Thar Station Hospital,မလဲသာတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,high confidence,22.11361800000003,95.45145300000007,0.276,0.176,0.519,9,552,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0057,Chaung-U Township Hospital,ချောင်ဦးမြို့နယ်ဆေးရုံ,Township,25,MMR005,Sagaing,MMR005D003,Monywa,MMR005015,Chaung-U,high confidence,21.95805000000007,95.27795000000003,0.213,0.108,0.445,6,662,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0058,Ah Myint Station Hospital,အမြင့်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D003,Monywa,MMR005015,Chaung-U,high confidence,21.922765000000027,95.15137000000004,0.238,0.167,0.502,5,467,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0059,Thone Pan Hla Station Hospital,သုံးပန်လှတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D003,Monywa,MMR005015,Chaung-U,high confidence,21.82354900000007,95.17830000000004,0.153,0.229,0.507,29,296,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0060,Yinmarbin Township Hospital,ယင်းမာပင်မြို့နယ်ဆေးရုံ,Township,50,MMR005,Sagaing,MMR005D009,Yinmarbin,MMR005016,Yinmarbin,high confidence,22.077761000000066,94.89846100000005,0.251,0.151,0.434,3,893,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
